file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpEngine.java,libcore.net.http.HttpEngine,class,15,113,1,96,227,34,0,16,7,9,2,0,17,0,30,11,10,13,3,4,16,0,15,438,36,0,53,1,6,23,10,64,4,49,3,1,0,0,310,1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpDate.java,libcore.net.http.HttpDate,class,0,6,1,3,1,3,2,2,1,0,0,0,0,0,2,2,0,2,0,0,2,0,0,47,4,1,0,2,0,14,0,2,0,2,2,1,0,0,71,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpDate.java,libcore.net.http.HttpDate$Anonymous1,anonymous,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,2,0,1,0,1,0,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HeaderParser.java,libcore.net.http.HeaderParser$CacheControlHandler,interface,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,5,1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HeaderParser.java,libcore.net.http.HeaderParser,class,4,23,1,15,15,6,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,7,5,6,1,0,9,8,27,0,16,3,0,1,0,83,16
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpConnectionPool.java,libcore.net.http.HttpConnectionPool,class,4,21,1,21,0,4,0,3,1,0,0,0,0,0,3,1,1,2,0,0,3,0,7,92,6,1,5,1,0,3,7,17,3,13,3,0,0,0,84,16
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpConnection.java,libcore.net.http.HttpConnection$Address,subclass,4,13,1,12,0,6,0,6,0,0,0,0,0,0,7,0,0,7,0,0,7,0,4,67,5,0,6,0,4,1,10,23,11,11,1,0,0,0,90,25
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpConnection.java,libcore.net.http.HttpConnection,class,12,37,1,26,16,13,1,10,1,1,1,0,0,0,13,3,0,12,0,1,5,0,13,225,13,2,16,2,3,4,6,24,3,22,3,0,1,0,200,16
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/SpdyTransport.java,libcore.net.http.SpdyTransport,class,9,11,1,15,4,8,0,7,0,0,1,0,0,0,3,0,0,3,0,0,2,0,1,50,5,0,2,1,0,2,1,10,0,10,1,0,0,0,46,16
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpsHandler.java,libcore.net.http.HttpsHandler,class,2,5,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,0,1,1,0,0,0,1,0,0,0,21,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/RetryableOutputStream.java,libcore.net.http.RetryableOutputStream,class,4,10,3,6,0,6,0,6,0,0,0,0,0,3,2,0,0,2,0,0,2,0,1,40,2,0,1,0,0,4,2,5,3,2,1,0,0,0,52,16
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpsURLConnectionImpl.java,libcore.net.http.HttpsURLConnectionImpl$ProxyConnectEngine,subclass,4,2,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpsURLConnectionImpl.java,libcore.net.http.HttpsURLConnectionImpl$HttpUrlConnectionDelegate,subclass,6,7,4,1,10,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,2,0,0,0,0,2,0,2,0,0,0,0,33,18
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpsURLConnectionImpl.java,libcore.net.http.HttpsURLConnectionImpl,class,6,68,9,68,0,60,0,58,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,330,46,0,8,0,0,2,0,10,0,8,1,0,3,0,204,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpsURLConnectionImpl.java,libcore.net.http.HttpsURLConnectionImpl$HttpsEngine,subclass,12,19,2,18,16,8,0,0,3,5,0,0,0,0,2,0,0,2,0,0,1,0,0,85,6,1,4,1,0,2,0,10,1,6,2,0,0,0,126,26
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpURLConnectionImpl.java,libcore.net.http.HttpURLConnectionImpl,class,13,102,3,56,439,34,0,19,7,1,7,0,22,0,7,1,0,5,2,0,3,0,6,349,44,2,30,8,6,23,2,39,6,30,3,0,0,0,256,1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpURLConnectionImpl.java,libcore.net.http.HttpURLConnectionImpl$Retry,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache$EntryCacheResponse,subclass,4,3,2,2,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,1,17,2,0,0,0,0,0,0,3,0,3,0,0,0,0,12,8
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache$EntrySecureCacheResponse,subclass,4,16,3,5,0,8,0,8,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,44,9,0,8,0,2,0,6,3,0,3,1,0,0,0,27,8
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache$CacheRequestImpl$Anonymous1,anonymous,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,0,2,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache$CacheRequestImpl,subclass,2,5,2,3,0,3,0,3,0,0,0,0,0,0,4,0,0,4,0,0,1,0,1,43,2,0,0,1,0,0,0,4,0,4,2,1,0,0,32,18
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache,class,20,42,6,31,98,16,1,12,4,0,0,0,0,7,10,4,0,10,0,0,5,0,3,421,23,0,5,6,6,2,4,27,0,30,2,1,4,0,178,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache$Entry,subclass,9,24,1,36,8,8,0,4,4,0,0,0,0,0,7,0,0,7,0,0,7,0,17,140,6,6,3,5,0,10,8,42,12,27,3,0,0,0,74,26
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpResponseCache.java,libcore.net.http.HttpResponseCache$Anonymous2,anonymous,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/Transport.java,libcore.net.http.Transport,interface,2,7,1,0,21,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,88,0
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/io/Base64.java,libcore.io.Base64,class,2,31,1,2,4,4,3,3,1,0,0,0,0,0,1,1,0,1,0,0,1,0,2,109,5,3,14,1,40,1,67,42,37,16,2,0,0,0,41,17
